,,,
,1,California,6717
,2,Texas,6273
,3,Arizona,4759
,4,New Mexico,4583
,5,Alabama,4533
,6,Georgia,4436
,7,Florida,4368
,8,Oregon,4136
,9,North Carolina,4131
,10,Utah,3892
,11,Nevada,3872
,12,Virginia,3803
,13,Tennessee,3772
,14,South Carolina,3701
,15,Oklahoma,3616
,16,Colorado,3597
,17,Mississippi,3580
,18,Louisiana,3495
,19,Arkansas,3415
,20,Washington,3375
,21,Missouri,3340
,22,New York,3333
,23,Kentucky,3258
,23,Illinois,3258
,25,Idaho,3205
,26,Wyoming,3184
,27,Ohio,3152
,28,Maryland,3148
,29,Michigan,3135
,29,Pennsylvania,3135
,31,Indiana,3098
,32,New Jersey,3022
,33,Montana,2921
,34,West Virginia,2873
,35,Wisconsin,2869
,36,Minnesota,2817
,37,Kansas,2778
,38,Massachusetts,2765
,39,Nebraska,2587
,40,Iowa,2533
,41,Connecticut,2497
,42,South Dakota,2406
,43,Maine,2352
,44,New Hampshire,2327
,45,Vermont,2274
,46,Delaware,2244
,47,Rhode Island,2078
,48,District of Columbia,1909
,49,North Dakota,1889
,50,Alaska,1835
,51,Hawaii,1418